"TIME_PERIOD";"GEO";"ERWP";"ERWL";"POP1564";"UNIT_MEA";"OBS_VALUE";"OBS_CONFIDENCE";"OBS_STATUS"
2010;"CH";"Total";"Total";"1";"pers in %";100.00000;0.1938;"A"
2010;"CH040";"Total";"0";"1";"pers";741022;0.7024;"A"
2010;"CH040";"Total";"1";"1";"pers";29977;5.6694;"A"
2010;"CH040";"Total";"Total";"1";"pers";771000;0.6676;"A"
2010;"CH021";"Total";"0";"1";"pers";514292;0.8701;"A"
2010;"CH021";"Total";"1";"1";"pers";19774;7.2206;"A"
2010;"CH021";"Total";"Total";"1";"pers";534067;0.8313;"A"
2010;"CH061";"Total";"0";"1";"pers";201686;1.0306;"A"
2010;"CH061";"Total";"1";"1";"pers";7209;9.2755;"A"
2010;"CH061";"Total";"Total";"1";"pers";208895;0.9840;"A"
2010;"CH062";"Total";"0";"1";"pers";17777;4.9100;"A"
2010;"CH062";"Total";"1";"1";"pers";498.65807;48.2032;"U"
2010;"CH062";"Total";"Total";"1";"pers";18275;4.7488;"A"
2010;"CH063";"Total";"0";"1";"pers";79755;2.3138;"A"
2010;"CH063";"Total";"1";"1";"pers";2514;23.2238;"A"
2010;"CH063";"Total";"Total";"1";"pers";82269;2.2207;"A"
2010;"CH064";"Total";"0";"1";"pers";20099;4.5545;"A"
2010;"CH064";"Total";"1";"1";"pers";335.39100;60.8340;"U"
2010;"CH064";"Total";"Total";"1";"pers";20434;4.4313;"A"
2010;"CH065";"Total";"0";"1";"pers";22306;4.4407;"A"
2010;"CH065";"Total";"1";"1";"pers";589.90495;47.4361;"U"
2010;"CH065";"Total";"Total";"1";"pers";22896;4.2955;"A"
2010;"CH051";"Total";"0";"1";"pers";21229;4.7055;"A"
2010;"CH051";"Total";"1";"1";"pers";498.65773;54.0322;"U"
2010;"CH051";"Total";"Total";"1";"pers";21728;4.5697;"A"
2010;"CH066";"Total";"0";"1";"pers";60627;1.9662;"A"
2010;"CH066";"Total";"1";"1";"pers";2348;16.9828;"A"
2010;"CH066";"Total";"Total";"1";"pers";62975;1.8689;"A"
2010;"CH022";"Total";"0";"1";"pers";145178;1.8060;"A"
2010;"CH022";"Total";"1";"1";"pers";6065;14.6543;"A"
2010;"CH022";"Total";"Total";"1";"pers";151244;1.7077;"A"
2010;"CH023";"Total";"0";"1";"pers";134312;1.8973;"A"
2010;"CH023";"Total";"1";"1";"pers";6401;14.2117;"A"
2010;"CH023";"Total";"Total";"1";"pers";140713;1.7925;"A"
2010;"CH031";"Total";"0";"1";"pers";84737;2.4957;"A"
2010;"CH031";"Total";"1";"1";"pers";7075;12.7231;"A"
2010;"CH031";"Total";"Total";"1";"pers";91813;2.2887;"A"
2010;"CH032";"Total";"0";"1";"pers";138030;1.8987;"A"
2010;"CH032";"Total";"1";"1";"pers";5516;14.9640;"A"
2010;"CH032";"Total";"Total";"1";"pers";143547;1.8147;"A"
2010;"CH052";"Total";"0";"1";"pers";38901;3.6035;"A"
2010;"CH052";"Total";"1";"1";"pers";1995;25.6748;"A"
2010;"CH052";"Total";"Total";"1";"pers";40896;3.4075;"A"
2010;"CH053";"Total";"0";"1";"pers";27788;3.9994;"A"
2010;"CH053";"Total";"1";"1";"pers";1187;33.5311;"U"
2010;"CH053";"Total";"Total";"1";"pers";28975;3.8137;"A"
2010;"CH054";"Total";"0";"1";"pers";7971;7.7539;"A"
2010;"CH054";"Total";"1";"1";"pers";236.71266;72.7108;"U"
2010;"CH054";"Total";"Total";"1";"pers";8208;7.4647;"A"
2010;"CH055";"Total";"0";"1";"pers";254388;1.3373;"A"
2010;"CH055";"Total";"1";"1";"pers";10163;11.2795;"A"
2010;"CH055";"Total";"Total";"1";"pers";264552;1.2703;"A"
2010;"CH056";"Total";"0";"1";"pers";103375;2.1423;"A"
2010;"CH056";"Total";"1";"1";"pers";2944;21.1487;"A"
2010;"CH056";"Total";"Total";"1";"pers";106319;2.0692;"A"
2010;"CH033";"Total";"0";"1";"pers";329979;0.8283;"A"
2010;"CH033";"Total";"1";"1";"pers";12489;7.1848;"A"
2010;"CH033";"Total";"Total";"1";"pers";342468;0.7887;"A"
2010;"CH057";"Total";"0";"1";"pers";134144;1.3137;"A"
2010;"CH057";"Total";"1";"1";"pers";5267;11.2342;"A"
2010;"CH057";"Total";"Total";"1";"pers";139411;1.2506;"A"
2010;"CH070";"Total";"0";"1";"pers";144926;1.4241;"A"
2010;"CH070";"Total";"1";"1";"pers";11874;7.0665;"A"
2010;"CH070";"Total";"Total";"1";"pers";156800;1.3165;"A"
2010;"CH011";"Total";"0";"1";"pers";339481;0.8703;"A"
2010;"CH011";"Total";"1";"1";"pers";25084;5.0347;"A"
2010;"CH011";"Total";"Total";"1";"pers";364565;0.8012;"A"
2010;"CH012";"Total";"0";"1";"pers";152009;1.9198;"A"
2010;"CH012";"Total";"1";"1";"pers";7378;13.6903;"A"
2010;"CH012";"Total";"Total";"1";"pers";159387;1.8172;"A"
2010;"CH024";"Total";"0";"1";"pers";81093;1.7248;"A"
2010;"CH024";"Total";"1";"1";"pers";6496;9.2350;"A"
2010;"CH024";"Total";"Total";"1";"pers";87589;1.5795;"A"
2010;"CH013";"Total";"0";"1";"pers";194660;1.2767;"A"
2010;"CH013";"Total";"1";"1";"pers";21968;5.4830;"A"
2010;"CH013";"Total";"Total";"1";"pers";216628;1.1425;"A"
2010;"CH025";"Total";"0";"1";"pers";33156;2.6692;"A"
2010;"CH025";"Total";"1";"1";"pers";1943;16.8436;"A"
2010;"CH025";"Total";"Total";"1";"pers";35099;2.4968;"A"
2010;"CH";"Total";"0";"1";"pers";4022922;0.3000;"A"
2010;"CH";"Total";"1";"1";"pers";197828;2.1313;"A"
2010;"CH";"Total";"Total";"1";"pers";4220751;0.2832;"A"
2010;"CH040";"Total";"0";"1";"pers in %";96.11191;0.2186;"A"
2010;"CH040";"Total";"1";"1";"pers in %";3.88809;0.2186;"A"
2010;"CH040";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH021";"Total";"0";"1";"pers in %";96.29740;0.2649;"A"
2010;"CH021";"Total";"1";"1";"pers in %";3.70260;0.2649;"A"
2010;"CH021";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH061";"Total";"0";"1";"pers in %";96.54907;0.3175;"A"
2010;"CH061";"Total";"1";"1";"pers in %";3.45093;0.3175;"A"
2010;"CH061";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH062";"Total";"0";"1";"pers in %";97.27140;1.3064;"A"
2010;"CH062";"Total";"1";"1";"pers in %";2.72860;1.3064;"U"
2010;"CH062";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH063";"Total";"0";"1";"pers in %";96.94459;0.7041;"A"
2010;"CH063";"Total";"1";"1";"pers in %";3.05541;0.7041;"A"
2010;"CH063";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH064";"Total";"0";"1";"pers in %";98.35870;0.9965;"A"
2010;"CH064";"Total";"1";"1";"pers in %";1.64130;0.9965;"U"
2010;"CH064";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH065";"Total";"0";"1";"pers in %";97.42355;1.2142;"A"
2010;"CH065";"Total";"1";"1";"pers in %";2.57645;1.2142;"U"
2010;"CH065";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH051";"Total";"0";"1";"pers in %";97.70496;1.2326;"A"
2010;"CH051";"Total";"1";"1";"pers in %";2.29504;1.2326;"U"
2010;"CH051";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH066";"Total";"0";"1";"pers in %";96.27080;0.6280;"A"
2010;"CH066";"Total";"1";"1";"pers in %";3.72920;0.6280;"A"
2010;"CH066";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH022";"Total";"0";"1";"pers in %";95.98963;0.5829;"A"
2010;"CH022";"Total";"1";"1";"pers in %";4.01037;0.5829;"A"
2010;"CH022";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH023";"Total";"0";"1";"pers in %";95.45133;0.6392;"A"
2010;"CH023";"Total";"1";"1";"pers in %";4.54867;0.6392;"A"
2010;"CH023";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH031";"Total";"0";"1";"pers in %";92.29374;0.9610;"A"
2010;"CH031";"Total";"1";"1";"pers in %";7.70626;0.9610;"A"
2010;"CH031";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH032";"Total";"0";"1";"pers in %";96.15706;0.5696;"A"
2010;"CH032";"Total";"1";"1";"pers in %";3.84294;0.5696;"A"
2010;"CH032";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH052";"Total";"0";"1";"pers in %";95.12161;1.2356;"A"
2010;"CH052";"Total";"1";"1";"pers in %";4.87839;1.2356;"A"
2010;"CH052";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH053";"Total";"0";"1";"pers in %";95.90420;1.3565;"A"
2010;"CH053";"Total";"1";"1";"pers in %";4.09580;1.3565;"U"
2010;"CH053";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH054";"Total";"0";"1";"pers in %";97.11604;2.0845;"A"
2010;"CH054";"Total";"1";"1";"pers in %";2.88396;2.0845;"U"
2010;"CH054";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH055";"Total";"0";"1";"pers in %";96.15823;0.4295;"A"
2010;"CH055";"Total";"1";"1";"pers in %";3.84177;0.4295;"A"
2010;"CH055";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH056";"Total";"0";"1";"pers in %";97.23134;0.5816;"A"
2010;"CH056";"Total";"1";"1";"pers in %";2.76866;0.5816;"A"
2010;"CH056";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH033";"Total";"0";"1";"pers in %";96.35314;0.2599;"A"
2010;"CH033";"Total";"1";"1";"pers in %";3.64686;0.2599;"A"
2010;"CH033";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH057";"Total";"0";"1";"pers in %";96.22190;0.4205;"A"
2010;"CH057";"Total";"1";"1";"pers in %";3.77810;0.4205;"A"
2010;"CH057";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH070";"Total";"0";"1";"pers in %";92.42716;0.5240;"A"
2010;"CH070";"Total";"1";"1";"pers in %";7.57284;0.5240;"A"
2010;"CH070";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH011";"Total";"0";"1";"pers in %";93.11934;0.3403;"A"
2010;"CH011";"Total";"1";"1";"pers in %";6.88066;0.3403;"A"
2010;"CH011";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH012";"Total";"0";"1";"pers in %";95.37124;0.6264;"A"
2010;"CH012";"Total";"1";"1";"pers in %";4.62876;0.6264;"A"
2010;"CH012";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH024";"Total";"0";"1";"pers in %";92.58319;0.6724;"A"
2010;"CH024";"Total";"1";"1";"pers in %";7.41681;0.6724;"A"
2010;"CH024";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH013";"Total";"0";"1";"pers in %";89.85918;0.5407;"A"
2010;"CH013";"Total";"1";"1";"pers in %";10.14082;0.5407;"A"
2010;"CH013";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH025";"Total";"0";"1";"pers in %";94.46392;0.9205;"A"
2010;"CH025";"Total";"1";"1";"pers in %";5.53608;0.9205;"A"
2010;"CH025";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH";"Total";"0";"1";"pers in %";95.31296;0.2859;"A"
